name,city_name,latitude,longitude,estimated_cost,opening_time,closing_time,closed_days
Cabinet de curiosités,Paris,48.8733087,2.3423149,5,09:30,18:30,Monday
Cité de l'architecture et du patrimoine,Paris,48.8628901,2.288981,15,09:30,18:30,Monday
Musée de la Marine,Paris,48.8618163,2.2873421,15,09:30,18:30,Monday
Musée de la Franc-Maçonnerie,Paris,48.8749151,2.3431481,15,09:30,18:30,Monday
City Aventure Lyon - Ste Foy,Lyon,45.7258436,4.7930643,5,09:30,18:30,Monday
Espace des Sciences Pierre-Gilles de Gennes,Paris,48.8411575,2.3473052,15,09:30,18:30,Monday
Fondation Le Corbusier,Paris,48.8519022,2.2652413,15,09:30,18:30,Monday
Musée de la Contrefaçon,Paris,48.8703234,2.2765175,15,09:30,18:30,Monday
Pavillons de Bercy,Paris,48.8327663,2.3893382,15,09:30,18:30,Monday
Musée Cinéma & Miniature,Lyon,45.7618753,4.8272985,15,09:30,18:30,Monday
Musée Adam Mickiewicz,Paris,48.8513494,2.355588,15,09:30,18:30,Monday
Musée Clemenceau,Paris,48.8591945,2.285142,15,09:30,18:30,Monday
Musée-Librairie du Compagnonnage,Paris,48.8522269,2.335005,15,09:30,18:30,Monday
Musée Valentin Haüy,Paris,48.8476741,2.3140391,15,09:30,18:30,Monday
Musée d'Histoire de la Médecine,Paris,48.8513247,2.3409022,15,09:30,18:30,Monday
Musée Maillol,Paris,48.8547723,2.3249025,15,09:30,18:30,Monday
Musée de Minéralogie,Paris,48.8453935,2.3394599,15,09:30,18:30,Monday
Musée Moissan,Paris,48.8434624,2.3362665,15,09:30,18:30,Monday
Bibliothèque-Musée de l'Opéra,Paris,48.871882,2.331212,15,09:30,18:30,Monday
Musée de la Préfecture de Police,Paris,48.8494311,2.3483534,15,09:30,18:30,Monday
Square Georges Contenot,Paris,48.8373537,2.3964048,0,09:30,18:30,Monday
Institut d'art contemporain,Lyon,45.7625393,4.8727591,15,09:30,18:30,Monday
Musée de l'automobile Henri Malartre,Lyon,45.8449493,4.8371587,15,09:30,18:30,Monday
Tours de Notre-Dame,Paris,48.8533658,2.3493036,5,09:30,18:30,Monday
Le Gros Caillou,Lyon,45.7745651,4.8350113,5,09:30,18:30,Monday
Fontaine à l'eau ferrugineuse,Lyon,45.6630605,4.7115351,5,09:30,18:30,Monday
Fondation Bullukian,Lyon,45.7566217,4.8311317,15,09:30,18:30,Monday
Trésor de Notre-Dame,Paris,48.8526313,2.3500601,15,09:30,18:30,Monday
Le Lido,Paris,48.8724266,2.3008705,5,09:30,18:30,Monday
Chais et Entrepôts de Bercy,Paris,48.8327851,2.3883176,5,09:30,18:30,Monday
Musée National d'Art Moderne,Paris,48.860324,2.3522598,15,09:30,18:30,Monday
Cité Florale,Paris,48.822703,2.3448195,5,09:30,18:30,Monday
Tour de l'Horloge,Paris,48.856193,2.3462327,5,09:30,18:30,Monday
Carrières souterraines des Capucins,Paris,48.8371564,2.3395284,5,09:30,18:30,Monday
Le Petit Train,Paris,48.8222506,2.3378888,5,09:30,18:30,Monday
Musée Antoine Brun,Lyon,45.7747844,4.690323,15,09:30,18:30,Monday
Maison de Madame Violet Trefusis,Paris,48.850924,2.328973,5,09:30,18:30,Monday
Canauxrama,Paris,48.8508544,2.3681264,5,09:30,18:30,Monday
Art Ludique - Le Musée,Paris,48.8405179,2.3703276,15,09:30,18:30,Monday
Collection des minéraux,Paris,48.8475408,2.3548406,15,09:30,18:30,Monday
Musée d'histoire de la médecine et de la pharmacie de Lyon,Lyon,45.7414332,4.8805413,15,09:30,18:30,Monday
Entrée du musée gallo-romain de Lyon,Lyon,45.759028,4.8211073,15,09:30,18:30,Monday
Babouin de Guinée,Paris,48.8332416,2.4198595,5,09:30,18:30,Monday
Capucin,Paris,48.8327665,2.4172099,5,09:30,18:30,Monday
Capybara,Paris,48.8335185,2.4176311,5,09:30,18:30,Monday
Chien des buissons,Paris,48.8335694,2.4181101,5,09:30,18:30,Monday
Girafe,Paris,48.8323403,2.4194524,5,09:30,18:30,Monday
Glouton,Paris,48.8339227,2.4183487,5,09:30,18:30,Monday
Grand Koudou,Paris,48.8328776,2.4184285,5,09:30,18:30,Monday
Guanaco,Paris,48.8317882,2.4168664,5,09:30,18:30,Monday
Jaguar,Paris,48.8334011,2.4180359,5,09:30,18:30,Monday
Lion d'Afrique,Paris,48.8310766,2.41959,5,09:30,18:30,Monday
Loup ibérique,Paris,48.8341311,2.4190277,5,09:30,18:30,Monday
Lynx d'Europe,Paris,48.8338315,2.4180006,5,09:30,18:30,Monday
Mara,Paris,48.8322148,2.416247,5,09:30,18:30,Monday
Marabout d'Afrique,Paris,48.8327121,2.4179368,5,09:30,18:30,Monday
Propithèque couronné,Paris,48.8328041,2.4159236,5,09:30,18:30,Monday
Poudou,Paris,48.8310245,2.4177516,5,09:30,18:30,Monday
Singe laineux,Paris,48.8329881,2.4174663,5,09:30,18:30,Monday
